train_scores,train_kinds,test_scores,test_kinds,,
0.497771225,0,0.514751548,3,,
0.512453174,1,0.484280018,2,,
0.495879586,0,0.449715494,2,,
0.508532629,1,0.502297506,3,,
0.470626058,0,0.490738442,2,,
0.515880065,1,0.509903665,3,,
0.515750402,1,0.513658466,3,,
0.483482095,0,0.475792962,2,,
0.513089563,1,0.46577366,2,,
0.462401435,0,0.519671528,3,,
0.499149541,0,0.515427988,3,,
0.45288801,0,0.511484332,3,,
0.488126038,0,0.50283149,3,,
0.507758182,1,0.509847894,3,,
0.513487712,1,0.501864666,3,,
0.465495112,0,0.509575859,3,,
0.457259309,0,0.510189637,3,,
0.452449773,0,0.508575636,3,,
0.461288442,0,0.511096355,3,,
0.514382696,1,0.50465814,3,,
0.504845228,1,0.514731882,3,,
0.492393092,0,0.454342195,2,,
0.502714246,1,0.511795586,3,,
0.503855809,1,0.515850674,3,,
0.461539277,0,0.514292805,3,,
0.512130816,1,0.512568332,3,,
0.502647975,1,0.480246776,2,,
0.458214548,0,0.469902501,2,,
0.510158162,1,0.488906453,2,,
0.505448777,1,0.506453652,3,,
0.466125413,0,0.512576399,3,,
0.471823964,0,0.505727197,3,,
0.49992445,0,0.483781707,2,,
0.502427853,1,0.470469005,2,,
0.508873831,1,0.468967486,2,,
0.494273343,0,0.514941775,3,,
0.511218314,1,0.508708627,3,,
0.492234145,0,0.510572261,3,,
0.481168609,0,0.486766734,2,,
0.503706805,1,0.512414226,3,,
0.516449541,1,0.469180872,2,,
0.50664061,1,0.510748154,3,,
0.450527658,0,0.48980723,2,,
0.506572026,1,0.51234539,3,,
0.511903748,1,0.480902984,2,,
0.456140367,0,0.489783087,2,,
0.502260135,1,0.453674788,2,,
0.503609135,1,0.497475699,2,,
0.496737149,0,0.471443331,2,,
0.460075219,0,0.452818196,2,,
0.496087137,0,0.472558615,2,,
0.458748826,0,0.464214203,2,,
0.462890134,0,0.488816813,2,,
0.47141759,0,0.512247982,3,,
0.508149593,1,0.504218562,3,,
0.45199753,0,0.511106475,3,,
0.472199165,0,0.460578125,2,,
0.506987505,1,0.48549594,2,,
0.500415117,1,0.460912014,2,,
0.471744246,0,0.476389952,2,,
0.497893317,0,0.508448491,3,,
0.50044128,1,0.512278071,3,,
0.470690528,0,0.455065535,2,,
0.475938789,0,0.484468049,2,,
0.484926347,0,0.508569771,3,,
0.454384031,0,0.462168637,2,,
0.503471474,1,0.449732538,2,,
0.479834424,0,0.514324716,3,,
0.467151216,0,0.507121053,3,,
0.493777449,0,0.511959946,3,,
0.469362072,0,0.463531588,2,,
0.507205006,1,0.502676607,3,,
0.516336186,1,0.501578707,3,,
0.515119624,1,0.510052713,3,,
0.467486146,0,0.514241285,3,,
0.50634414,1,0.500873294,3,,
0.50468836,1,0.51359633,3,,
0.511482648,1,0.514277175,3,,
0.457748006,0,0.506345869,3,,
0.508011687,1,0.50578184,3,,
0.50728109,1,0.483215734,2,,
0.468522517,0,0.455892084,2,,
0.465812574,0,0.464556761,2,,
0.474964781,0,0.506685044,3,,
0.477330408,0,0.508453664,3,,
0.499868305,0,0.515182539,3,,
0.477721389,0,0.5060617,3,,
0.46089448,0,0.469517811,2,,
0.451913751,0,0.451641806,2,,
0.45112646,0,0.469204532,2,,
0.456989783,0,0.523709383,3,,
